date_code,year_id,month_id,week_id,store_code,store_name,customer_name,channel,store_type,country,region,province,short_name,city,area,cluster,sub_channel,material,product_name,key_items,sku,style,division,gender,enduse,silhouette,sub_silhouette,fit_type,qty,lw_qty,lm_qty,amt,lw_amt,lm_amt,season_code,msrp,key_stories,product_line
2025-02-14,2025,202502,202545,TWN_MOMO,MOMO,,FP,EC-TW,Taiwan,,,MOMO,,0.0000,,MarketPlace,1377920-035,UA GAINS DINNER TANK,Graphics,1377920-035-MD,1377920,Apparel,Mens,Sportstyle,Tops,Sleeveless Graphics,Loose,1,,,334.00000,,,,249.000,,
2025-02-14,2025,202502,202545,DSBH_TWN_0587R,Chaiyi West Chungshan SF,Retail,FP,BH,Taiwan,APAC,Taiwan,0587,Chiayi,157.0000,C,BH,1382036-001,/UA Performance Tech 3pk NS-BLK,,1382036-001-MD,1382036,Accessories,Adult Unisex,Training,Socks,Low Socks,Regular,1,,,522.00000,,,FW24,18.000,,
2025-02-14,2025,202502,202545,DSFH_TWN_2072,Tainan Mitsui FH,Retail,FP,FH,Taiwan,,Taiwan,2072,Tainan,288.6000,,FH,1378677-109,UA Playoff 3.0 Printed Polo-WHT,Golf-Playoff,1378677-109-MD,1378677,Apparel,Mens,Golf,Tops,Short-Sleeve Polos,Loose,1,,,1412.00000,,,SS24,0.000,,Inline
2025-02-14,2025,202502,202545,DSFH_TWN_2072,Tainan Mitsui FH,Retail,FP,FH,Taiwan,,Taiwan,2072,Tainan,288.6000,,FH,1376457-001,UA Project Rock Waist Bag,PROJECT ROCK,1376457-001-OSFM,1376457,Accessories,Mens,Training,Bags,Waistpacks,One Size Fits Most,1,,,700.00000,,,FW24,399.000,,Inline
2025-02-14,2025,202502,202545,TWN_UA_COM,UA COM,,FP,EC-TW,Taiwan,,,UA COM,,0.0000,,UA.com,1380189-114,Pjt Rck Everyday Terry Short-LG,Project Rock,1380189-114-SM,1380189,Apparel,Womens,Training,Bottoms,Shorts,Loose,1,,,1127.00000,,,,499.000,,
2025-02-14,2025,202502,202545,TWN_SHOPEE,SHOPEE,,FP,EC-TW,Taiwan,,,SHOPEE,,0.0000,,MarketPlace,1383357-001,UA Tech Woven 5in Short-BLK,Others,1383357-001-LG,1383357,Apparel,Mens,Training,Bottoms,Shorts,Loose,3,,,1617.00000,,,,299.000,,
2025-02-14,2025,202502,202545,TWN_UA_COM,UA COM,,FP,EC-TW,Taiwan,,,UA COM,,0.0000,,UA.com,3028002-103,UA Sonic 7,,3028002-103-9.5,3028002,Footwear,Mens,Running,Performance Sneakers,Technical Performance,Regular,1,,,3285.00000,,,,899.000,,
2025-02-14,2025,202502,202545,TWN_UA_COM,UA COM,,FP,EC-TW,Taiwan,,,UA COM,,0.0000,,UA.com,1386560-390,UA Vibe Woven Cargo Short-GRN,,1386560-390-XXL,1386560,Apparel,Mens,Sportstyle,Bottoms,Shorts,Loose,1,,,1889.00000,,,,0.000,,
2025-02-14,2025,202502,202545,TWN_YAHOO,YAHOO,,FP,EC-TW,Taiwan,,,YAHOO,,0.0000,,MarketPlace,3026682-101,UA Charged Impulse 3 Knit-GRY,,3026682-101-8,3026682,Footwear,Mens,Running,PERFORMANCE SNEAKERS,Visual Cushioning," REGULAR",1,,,855.00000,,,,649.000,,
2025-02-14,2025,202502,202545,DSBH_TWN_0850,Tainan City Anpin Store SF,Retail,FP,BH,Taiwan,APAC,Taiwan,0850,Tainan,496.2000,C,BH,1387123-035,UA Playoff LS Polo-GRY,Golf Polo-Playoff,1387123-035-SM,1387123,Apparel,Mens,Golf,Tops,Long-Sleeve Polos,Loose,1,,,1966.00000,,,SS25,649.000,,Inline
